type_id,manufacturer,model,series
_EPIC_1,Aircraft Investor Resources LLC,AIR Epic Dynasty,EPIC
_EXPL_1,McDonnell Douglas,McDonnell Douglas MD-900 Explorer,EXPL
_EXPL_2,The Boeing Company,Boeing MD-902 Explorer,EXPL
_G44_1,Gannet Aircraft,Gannet G-44 Super Widgeon,G44
_G44_2,McKinnon Enterprises Inc,Mckinnon G-44 Super Widgeon,G44
_G44_3,Société des Constructions Aéro-Navales,Scan SCAN-30,G44
_K126_1,Intreprinderea de Constructii Aeronautice,ICA Ka-126,K126
_L37_1,Howard Aero Inc,Howard 500,L37
_L37_2,Oakland Airmotive Company,Oakland Centaurus,L37
_LA25_1,LanShe Aerospace LLC,Lanshe LA-250 Renegade,LA25
_LJ23_1,Lear Jet Corporation,Learjet 23,LJ23
_LJ24_1,Lear Jet Corporation,Learjet 24,LJ24
_P210_1,Aviones de Colombia SA,Aviones Colombia P210,P210
_P210_2,Riley Aircraft Corporation,Riley Rocket P210,P210
_P32R_1,Aero Industrial Colombiana SA,Aicsa PA-32R-301T Turbo Saratoga SP,P32R
_P32R_2,Chincul SACAIFI,Chincul PA-A-32R-300 Lance,P32R
_P32R_3,Embraer (Empresa Brasileira de Aeronáutica SA),Embraer EMB-721 Sertanejo,P32R
_P32R_4,Industria Aeronáutica Neiva SA,Neiva EMB-721 Sertanejo,P32R
_P32T_1,Aero Industrial Colombiana SA,Aicsa PA-32RT Turbo Lance 2,P32T
_P32T_2,Chincul SACAIFI,Chincul PA-A-32RT-300T Turbo Lance 2,P32T
_P32T_3,Embraer (Empresa Brasileira de Aeronáutica SA),Embraer PA-32RT-300 Lance 2,P32T
_P337_1,Reims Aviation,Reims FP337 Pressurized Skymaster,P337
_P46T_1,Jetprop LLC,Jetprop DLX,P46T
_PA23_1,Miller,Miller Jet Profile,PA23
_PA23_2,Seguin Aviation Inc,Seguin Geronimo,PA23
_PA27_1,Chincul SACAIFI,Chincul PA-A-23-250 Aztec,PA27
_PA32_1,Aero Industrial Colombiana SA,Aicsa PA-32 Cherokee Six,PA32
_PA32_2,Chincul SACAIFI,Chincul PA-A-32 Cherokee Six,PA32
_PA32_3,Embraer (Empresa Brasileira de Aeronáutica SA),Embraer EMB-720 Minuano,PA32
_PA32_4,Industria Aeronáutica Neiva SA,Neiva EMB-720 Minuano,PA32
_PA34_1,Aero Industrial Colombiana SA,Aicsa PA-34 Seneca,PA34
_PA34_2,Bengis Aircraft Company Pty Ltd,Bengis TM-20 Flamingo 3,PA34
_PA34_3,Chincul SACAIFI,Chincul PA-A-34 Seneca,PA34
_PA34_4,Embraer (Empresa Brasileira de Aeronáutica SA),Embraer EMB-810 Seneca II,PA34
_PA34_5,Industria Aeronáutica Neiva SA,Neiva EMB-810 Seneca,PA34
_PA34_6,Polskie Zaklady Lotnicze Sp z oo,PZL-Mielec M-20 Mewa,PA34
_PA34_7,Seguin Aviation Inc,Seguin Princess,PA34
_SS2_1,Rutan Aircraft Factory Inc,Rutan SpaceShipTwo,SS2
_T250_1,"Anderson,Greenwood and Company",Anderson-Greenwood T-250 Aries,T250
_TBM7_1,TBM Corporation,TBM TBM-700,TBM7
A124,Antonov,Antonov An-124 Ruslan,A124
A225,Antonov,Antonov An-225 Mriya,A225
A251,JSC Aviatik-Alyans,Aviatik Alliance Aleks-251,A251
A500,Adam Aircraft Industries,Adam A500 CarbonAero,A500
A700,Adam Aircraft Industries,Adam A700 AdamJet,A700
AC50,Aero Commander Inc,Aero Commander 500 family,AC50
AC52,Aero Design and Engineering Company,Aero Commander 520,AC52
AC56,Aero Commander Inc,Aero Commander 560,AC56
AC68,Aero Commander Inc,Aero Commander 680,AC68
AC6L,Aero Commander Inc,Aero Commander 680FL Grand Commander,AC6L
AC72,Aero Commander Inc,Aero Commander 720 Alti Cruiser,AC72
AC80,Aero Commander Inc,Aero Commander 680T Turbo Commander,AC80
AC90,Rockwell International,Rockwell Turbo Commander 690,AC90
AC95,Rockwell International,Rockwell 695 Jetprop Commander 1000,AC95
ACRD,Nauchno-Proizvodstvennoe Obedinenie Avia,Avia Accord 201,ACRD
AEST,"Piper Aircraft, Inc",Piper PA-60 Aerostar,AEST
ANSN,Avro (A.V.Roe & Company),Avro 652A Anson,ANSN
AS50,Eurocopter Group ,Eurocopter AS350 Ecureuil,AS50
AS55,Eurocopter Group ,Eurocopter AS355 Ecureuil 2,AS55
B103,Beriev Aircraft Company,Beriev Be-103 Bekas,B103
B105,Messerschmitt-Bölkow-Blohm (MBB),MBB Bo-105,B105
B23,Douglas Aircraft Company,Douglas B-23 Dragon,B23
B25,North American Aviation,North American B-25 Mitchell,B25
B36T,Beech Aircraft,Beechcraft Model 36 Bonanza (Turbine),B36T
B58T,Beech Aircraft,Beechcraft Model 58 Pressurized Baron,B58T
BAR6,Barr Aircraft,Barr Six,BAR6
BCA3,Buhl Aircraft Company,Buhl CA-3 Airsedan,BCA3
BE24,Beech Aircraft,Beechcraft Model 24 Sierra,BE24
BE33,Beech Aircraft,Beechcraft Model 33 Debonair / Bonanza,BE33
BE35,Beech Aircraft,Beechcraft Model 35 Bonanza,BE35
BE36,Beech Aircraft,Beechcraft Model 36 Bonanza (piston),BE36
BE50,Beech Aircraft,Beechcraft Model 50 Twin Bonanza,BE50
BE55,Beech Aircraft,Beechcraft Model 55 Baron,BE55
BE56,Beech Aircraft,Beechcraft Model 56 Turbo Baron,BE56
BE58,Beech Aircraft,Beechcraft Model 58 Baron,BE58
BE60,Beech Aircraft,Beechcraft Model 60 Duke,BE60
BL19,Bellanca Aircraft Corporation,Bellanca 19 Skyrocket,BL19
BROU,Avions Max Holste,Max Holste MH-1521 Broussard,BROU
BS60,- see BEECH and SFERMA,Beech-Sferma 60 Marquis,BS60
BT36,Beech Aircraft,beechcraft Bonanza (A36TC/B36TC),BT36
C06T,Cessna Aircraft Company,Cessna 206 (turbine),C06T
C10T,Cessna Aircraft Company,Cessna P210 (turbine),C10T
C133,Douglas Aircraft Company,Douglas C-133 Cargomaster,C133
C141,Lockheed Corporation,Lockheed C-141 Starlifter,C141
C180,Cessna Aircraft Company,Cessna 180,C180
C185,Cessna Aircraft Company,Cessna 185 Skywagon,C185
C205,Cessna Aircraft Company,Cessna 205,C205
C206,Cessna Aircraft Company,Cessna 206 Stationair / Turbo Stationair,C206
C210,Cessna Aircraft Company,Cessna 210 Centurion,C210
C21T,Cessna Aircraft Company,Cessna 421 (turbine),C21T
C303,Cessna Aircraft Company,Cessna T303 Crusader,C303
C335,Cessna Aircraft Company,Cessna 335,C335
C337,Cessna Aircraft Company,Cessna 337 Super Skymaster,C337
C340,Cessna Aircraft Company,Cessna 340,C340
CA6,Comp Air Inc,CA-6 Comp Air 6,CA6
CA9,Comp Air Inc,CA-9 Comp Air 9,CA9
CNDR,General Avia Costruzioni Aeronautiche SRL,General Avia F.20TP Condor,CNDR
COUR,Helio Aircraft Company,Helio H-391 Courier,COUR
DO27,Dornier Flugzeugwerke,Dornier Do 27,DO27
E400,Extra Flugzeugbau,Extra EA-400,E400
E500,Extra Flugzeugbau,Extra EA-500,E500
E55P,Embraer (Empresa Brasileira de Aeronáutica SA),Embraer EMB-505 Phenom 300,E55P
EA50,Eclipse Aviation Corporation,Eclipse 500,EA50
EC30,Eurocopter Group ,Eurocopter EC130,EC30
EP9,Edgar Percival Aircraft Ltd,Edgar Percival EP-9,EP9
EPIC,Aircraft Investor Resources LLC,Epic LT Dynasty,EPIC
EXPL,MD Helicopters Inc.,MD Helicopters MD Explorer,EXPL
FBA2,Found Aircraft Canada,Found FBA-2 Bush Hawk,FBA2
G150,Gulfstream Aerospace Corporation,Gulfstream Aerospace Gulfstream G150,G150
G44,Grumman Aerospace Corporation,Grumman G-44 Widgeon,G44
GDUK,Ellison-Mahon Aircraft Inc,Ellison-Mahon Gweduck,GDUK
HDJT,Honda Aircraft Company,Honda HA-420 HondaJet,HDJT
IR24,Intreprinderea de Constructii Aeronautice,IAR-824,IR24
JCRU,Advanced Aerodynamics and Structures Inc (AASI),AASI Jetcruzer,JCRU
K126,Kamov,Kamov Ka-126,K126
KEST,Farnborough Aircraft Corporation Ltd,Farnborough F-1 Kestrel,KEST
L12,Lockheed Corporation,Lockheed 12 Electra Junior,L12
L37,Lockheed Corporation,Lockheed L-137 Ventura,L37
LA25,Lake Aircraft Corporation,Lake LA-250 Renegade,LA25
LION,Griffon Aerospace Inc,Griffon Lionheart,LION
LJ23,Lear Jet Corporation,Learjet 23,LJ23
LJ24,Gates Learjet Corporation,Learjet 24,LJ24
MH02,- see HONDA and MISSISSIPPI,Honda-Mississippi MH-02,MH02
MOL1,Nauchno-Proizvodstvennoye Obedinenie Molniya OAO,Molniya 1,MOL1
MR35,Murphy Aircraft Manufacturing,Murphy Moose,MR35
MR3T,Murphy Aircraft Manufacturing,Murphy SR-3500 T-Moose,MR3T
NDAT,Aviation Normand Dubé Inc,Normand Dube Aerocruiser Turbo 450,NDAT
P210,Cessna Aircraft Company,Cessna P210 Pressurized Centurion,P210
P32R,"Piper Aircraft, Inc",Piper PA-32R Lance/Saratoga,P32R
P32T,"Piper Aircraft, Inc",Piper PA-32RT-300T Turbo Lance 2,P32T
P337,Cessna Aircraft Company,Cessna P337 Pressurized Skymaster,P337
P46T,"Piper Aircraft, Inc",Piper PA-46-500 TP Meridian,P46T
P68,Partenavia Construzioni Aeronautiche,Partenavia P-68 Observer,P68
PA23,"Piper Aircraft, Inc",Piper PA-23 Apache/Aztec,PA23
PA27,"Piper Aircraft, Inc",Piper PA-23-235 Aztec,PA27
PA32,"Piper Aircraft, Inc",Piper PA-32 Cherokee Six,PA32
PA34,"Piper Aircraft, Inc",Piper PA-34 Seneca,PA34
PA46,"Piper Aircraft, Inc",Piper PA-46 Malibu,PA46
PEGA,General Avia Costruzioni Aeronautiche SRL,General Avia F-20 Pegaso,PEGA
PREX,Private Explorer Inc,Wilson Private Explorer,PREX
PZ05,PZL (Panstwowe Zaklady Lotnicze Warszawa-Okecie),PZL-105 Flaming,PZ05
SCOU,Westland Aircraft,Westland Scout,SCOU
SG92,SCF Technoavia,Technoavia SM-92T Turbo Finist,SG92
SM20,SCF Technoavia,Technoavia SM-2000,SM20
SS2,Scaled Composites,Scaled Composites Model 339 SpaceShipTwo,SS2
STAL,Aircraft Designs Inc,ADI Stallion,STAL
STAT,Aircraft Designs Inc,ADI Turbine Stallion,STAT
T206,Cessna Aircraft Company,Cessna T206 Turbo Stationair,T206
T210,Cessna Aircraft Company,Cessna T210 Turbo Centurion,T210
T250,Bellanca Aircraft Corporation,Bellanca T-250 Aries,T250
TBM7,SOCATA (Société de Construction d'Avions de Tourisme et d'Af.),Socata TBM 700,TBM7
TBM8,SOCATA (Société de Construction d'Avions de Tourisme et d'Af.),Socata TBM 850,TBM8
TBM9,SOCATA (Société de Construction d'Avions de Tourisme et d'Af.),Socata TBM 900,TBM9
TCOU,Helio Aircraft Company,Helio H-500 Twin Courier,TCOU
VANT,VisionAire Corporation,Visionaire VA-10 Vantage,VANT
WASP,Westland Aircraft,Westland Wasp,WASP
YK58,Yak Aircraft Corporation,Yakovlev Yak-58,YK58
AH6,The Boeing Company,Boeing AH-6,H500
H120,Airbus Helicopters,Airbus Helicopters H120,EC20
MH6,MD Helicopters Inc.,MD Helicopters MH-6 Little Bird,H500
RASE,Bombardier Inc,Raytheon Sentinel,GL5T
WC130,Lockheed Corporation,Lockheed WC-130,C130
_ALO2_1,Republic Aviation Corporation,Republic SE-3130 Alouette 2,ALO2
_ALO2_2,Sud Aviation,Sud SA-318 Alouette 2,ALO2
_ALO2_3,Sud-Est Aviation,Sud-Est SE-3130 Alouette 2,ALO2
_ALO3_1,Eidgenössisches Flugzeugwerk,F+W Emmen SE-3160 Alouette 3,ALO3
_ALO3_2,Hindustan Aeronautics Limited (HAL),Hindustan SA-316 Chetak,ALO3
_ALO3_3,Intreprinderea de Constructii Aeronautice,IAR-316 Alouette 3,ALO3
_ALO3_4,NV Lichtwerk,Lichtwerk SE-3160 Alouette 3,ALO3
_ALO3_5,Sud Aviation,Sud SA-316 Alouette 3,ALO3
_AN12_1,Shaanxi Aircraft Corporation,Shaanxi Y-8,AN12
_B06_1,Agusta,Agusta AB-206 JetRanger,B06
_B06_2,Commonwealth Aircraft Corporation (CAC),Commonwealth CA-32 Kiowa,B06
_B06_3,Panha Iran Helicopter Support and Renewal Company,Panha 2061,B06
_B06T_1,Tridair Helicopters Inc,Tridair 206L-ST Gemini ST,B06T
_B60T_1,Northwest Turbine LLC,Northwest Turbine 60 Royal Turbine Duke,B60T
_C130_1,Rockwell International,Rockwell AC-130 Spectre,C130
_C310_1,Aviones de Colombia SA,Aviones Colombia 310,C310
_C310_2,Colemill Enterprises Inc,Colemill Executive 600,C310
_C310_3,Riley Aircraft Corporation,Riley Turbo-Rocket,C310
_C320_1,Colemill Enterprises Inc,Colemill Century 600,C320
_D140_1,Avions Jodel SA,Jodel D-140 Mousquetaire,D140
_D140_2,Avions Mudry & Cie,Mudry D-140 Mousquetaire,D140
_E2_1,Grumman Aerospace Corporation,Grumman E-2 Hawkeye,E2
_EC20_1,Harbin Aircraft Manufacturing Corporation (HAMC),Harbin HC-120,EC20
_EN48_1,Wuhan Helicopter General Aviation Corporation,Wuhan TH-28,EN48
_GAZL_1,Arab British Helicopter Company,Abhco SA-342 Gazelle,GAZL
_GAZL_2,Eurocopter Group ,Eurocopter SA-342 Gazelle,GAZL
_GAZL_3,SOKO Air Mostar,Soko SA-341 Partizan,GAZL
_GAZL_4,Sud Aviation,Sud SA-341 Gazelle,GAZL
_GAZL_5,Westland Aircraft,Westland Gazelle,GAZL
_H500_1,Agusta,Agusta NH-500,H500
_H500_2,BredaNardi Costruzione Aeronautiche SpA,Bredanardi NH-500,H500
_H500_3,Hughes Helicopters,Hughes 500 Defender,H500
_H500_4,Kawasaki Heavy Industries Aerospace Company,Kawasaki 500,H500
_H500_5,Korean Air Lines Company Ltd,Korean Air 500 Defender,H500
_H500_6,McDonnell Douglas,McDonnell Douglas MD-500 Defender,H500
_H500_7,Representaciones Aero Comerciales Argentinas SA,Raca 500,H500
_H500_8,The Boeing Company,Boeing MD-500,H500
_MD52_1,McDonnell Douglas,McDonnell Douglas MD-520N,MD52
_MD52_2,The Boeing Company,Boeing MD-520N,MD52
_P136_1,Trecker Aircraft Corporation,Trecker Gull,P136
_T411_1,Aeroprogress Corporation,Aeroprogress T-411 Wolverine,T411
ALO2,Aérospatiale,Aerospatiale SA318 Alouette II ,ALO2
ALO3,Aérospatiale,Aerospatiale SA316 Alouette III,ALO3
AN12,Antonov,Antonov An-12,AN12
B06,Bell Helicopter,Bell 206 JetRanger,B06
B06T,Bell Helicopter,Bell 206LT TwinRanger,B06T
B305,Brantly International,Brantly 305,B305
B52,The Boeing Company,Boeing B-52 Stratofortress,B52
B60T,Beech Aircraft,Beechcraft Model 60 Royal Turbine Duke,B60T
BELF,Short Brothers plc,Short SC-5 Belfast,BELF
BOOM,Rutan Aircraft Factory Inc,Rutan 202 Boomerang,BOOM
C130,Lockheed Corporation,Lockheed C-130 Hercules,C130
C190,Cessna Aircraft Company,Cessna 190,C190
C195,Cessna Aircraft Company,Cessna 195 Businessliner,C195
C310,Cessna Aircraft Company,Cessna 310,C310
C320,Cessna Aircraft Company,Cessna 320 Skyknight,C320
C336,Cessna Aircraft Company,Cessna 336 Skymaster,C336
C510,Cessna Aircraft Company,Cessna 510 Citation Mustang,C510
CE27,Opytnyi Konstruktorskoye Byuro Chernov B & M OOO,Chernov Che-27,CE27
CE43,Consortium Européen de Réalisation et de Vente d'Avions GIE,Cerva CE-43 Guepard,CE43
CENT,Found Aircraft Canada,Found Centennial 100,CENT
CO50,Cobalt Aéronautique Canada Inc,Cobalt Co-50 Valkyrie,CO50
D140,Société Aéronautique Normande,SAN Jodel D-140 Mousquetaire,D140
D25,New Standard Aircraft Corporation,New Standard D-25,D25
DA50,Diamond Aircraft,Diamond DA-50 Super Star,DA50
DH83,de Havilland Aircraft Company ,de Havilland DH.83 Fox Moth,DH83
DJET,Diamond Aircraft,Diamond D-JET,DJET
E2,Northrop Grumman Corporation,Northrop Grumman E-2 Hawkeye,E2
EC20,Eurocopter Group ,Eurocopter EC120 Colibri,EC20
EN48,Enstrom Helicopter Corporation,Enstrom 480,EN48
GAZL,Aérospatiale,Aerospatiale SA341 Gazelle,GAZL
GF20,Grob Aircraft,Grob GF-200,GF20
H500,MD Helicopters Inc.,MD Helicopters MD 500,H500
HD34,Société de Construction des Avions Hurel-Dubois,Hurel-Dubois HD-34,HD34
I103,Ilyushin Aviation Complex,Ilyushin IL-103,I103
KA27,Kamov,Kamov Ka-27,KA27
L200,Let Kunovice,Let L-200 Morava,L200
MD52,MD Helicopters Inc.,MD Helicopters MD-520N,MD52
NM5,National Aerospace Laboratories (NAL),NAL NM-5,NM5
P136,Piaggio Aero Industries,Piaggio P.136,P136
PRCE,Percival Aircraft Ltd,Percival P-57 Sea Prince,PRCE
R66,Robinson Helicopter Company,Robinson R66,R66
SHRT,Sherpa Aircraft Manufacturing Company,Sherpa Sherpa K-650T,SHRT
SJET,Excel-Jet Ltd,Excel-Jet Sport-Jet 2,SJET
SKYC,Oma Sud Sky Technologies SpA,OMA SUD Skycar,SKYC
SP7,Spartan Aircraft Company,Spartan UC-71 Executive,SP7
SYCA,Bristol Aeroplane Company,Bristol 171 Sycamore,SYCA
T411,Khrunichev industrial Complex,Khrunichev T-411 Aist,T411
T50,Cessna Aircraft Company,Cessna AT-17 Bobcat,T50
TBEE,United Consultant Corporation,United Consultant UC-1 Twin Bee,TBEE
VK3P,Cirrus Aircraft,Cirrus VK-30,VK3P
VMT,Myasishchev OKB,Myasishchev VM-T Atlant,VMT
VULC,Avro (A.V.Roe & Company),Avro 698 Vulcan,VULC
WA40,Wassmer Aviation SA,Wassmer WA-40 Super 4,WA40
WA41,Wassmer Aviation SA,Wassmer WA-41 Baladou,WA41
WA42,Wassmer Aviation SA,Wassmer WA-4/21 Prestige,WA42
WACC,Waco Aircraft Company,Waco C,WACC
CL162,Bushcaddy Aircraft Canada,BushCaddy L-162 Max,CAD4
CL164,Bushcaddy Aircraft Canada,BushCaddy L-164,CAD4
CT41,Cessna Aircraft Company,Cessna T-41 Mescalero,C172
H125M,Airbus Helicopters,Airbus Helicopters H125M,AS55
HH60,Sikorsky Aircraft Corporation,Sikorsky HH-60 Pave Hawk,H60
HH65,Eurocopter Group ,Eurocopter HH-65 Dolphin,S65C
KC10,McDonnell Douglas,McDonnell Douglas KC-10 Extender,DC10
KC97,The Boeing Company,Boeing KC-97 Stratofreighter,C97
LOC69,Lockheed Corporation,Lockheed C-69 Constellation,CONI
MH60,Sikorsky Aircraft Corporation,Sikorsky MH-60T Jayhawk,H60
SH60,Sikorsky Aircraft Corporation,Sikorsky SH-60 Seahawk,H60
UH60,Sikorsky Aircraft Corporation,Sikorsky UH-60 Black Hawk,H60
_AA5_2,Gulfstream American Corporation,Gulfstream American AA-5 Tiger,AA5
_AA5_3,American Aviation Corporation,American Aviation AA-5 Traveler,AA5
_AA5_4,American General Aircraft Company,American General AG-5 Tiger,AA5
_AA5_5,Tiger Aircraft,Tiger AG-5B,AA5
_AC11_2,Commander Aircraft Company,Commander 112,AC11
_AC11_3,North American Rockwell Corporation,North American Rockwell Commander 112,AC11
_AE45_1,Let Kunovice,Let Aero Ae-45,AE45
_AIRD_1,Beagle-Auster Ltd,Beagle-Auster A.109 Airedale,AIRD
_AS55_1,Aérospatiale,Aerospatiale AS-355 Ecureuil 2,AS55
_AS55_2,Helicópteros do Brasil SA,Helibras HB-355 Esquilo,AS55
_AS55_3,Eurocopter Group ,Eurocopter AS550 Fennec,AS55
_B14C_1,Downer Aircraft Industries Inc,Downer Bellanca 14-19 Cruisemaster,B14C
_B14C_2,International Aircraft Manufacturing Inc,Inter-Air Bellanca 260C Model 14-19-3C,B14C
_BD4_1,Tennessee Valley Aviation Products Ltd,Tennessee Valley Bede BD-4,BD4
_BKUT_1,Experimental Aviation Inc,Experimental Aviation Berkut,BKUT
_BKUT_2,Renaissance Composites Inc,Renaissance Berkut,BKUT
_BL17_1,Alexandria Aircraft LLC,Alexandria 17 Super Viking,BL17
_C172_1,Reims Aviation,Reims F172 Skyhawk,C172
_C172_2,Aviones de Colombia SA,Aviones Colombia 172,C172
_C172_3,Fabrica Militar de Aviones (FMA),FMA P-172,C172
_C182_1,Reims Aviation,Reims F182 Skylane,C182
_C182_2,Aviones de Colombia SA,Aviones Colombia 182,C182
_C182_3,Fabrica Militar de Aviones (FMA),FMA A-182,C182
_C182_4,Dirección Nacional de Investigaciones y Fabricaciones Aer.,DINFIA A-182,C182
_C182_5,Wren Aircraft Corporation,Peterson 260SE / Wren 460,C182
_C72R_1,Aviones de Colombia SA,Aviones Colombia 172RG,C72R
_C77R_1,Reims Aviation,Reims F177RG Cardinal RG,C77R
_C77R_2,Aviones de Colombia SA,Aviones Colombia 177RG,C77R
_C82R_1,Reims Aviation,Reims FR182 Skylane RG,C82R
_C82R_2,Aviones de Colombia SA,Aviones Colombia R182,C82R
_CA4_1,Aerocomp Inc,CA-4 Comp Air 4,CA4
_CE25_1,Hydroplane Ltd,Hydroplane Che-25,CE25
_CH80_1,Czech Sport Aircraft,CZAW CH-801 STOL,CH80
_CH80_2,Jordan Aerospace Industries,Jordan Aerospace CH-8000 Hawk 1,CH80
_CH80_3,Zenair Ltd,Zenair CH-801 STOL,CH80
_COL3_1,Columbia Aircraft,Columbia LC-42 Columbia 350,COL3
_COL3_2,Lancair International Inc,Lancair LC-40 Columbia 300,COL3
_COL4_1,Columbia Aircraft,Columbia LC-41 Columbia 400,COL4
_COL4_2,Lancair International Inc,Lancair LC-41 Columbia 400,COL4
_COZY_1,AeroCad Inc,Aerocad AeroCanard,COZY
_COZY_2,Cosy Europe,Cosy Classic,COZY
_COZY_3,Co-Z Development Corporation,Co-Z Cozy,COZY
_D6_1,Beagle-Auster Ltd,Beagle-Auster D-6,D6
_DC10_1,The Boeing Company,Boeing MD-10,DC10
_DR30_1,Centre Est Aéronautique,Centre Est DR.315 Petit Prince,DR30
_EVIC_1,Aircraft Investor Resources LLC,AIR Epic Victory,EVIC
_EXPR_1,Express Aircraft Company LLC,Express,EXPR
_FALM_1,Phillips & Powis Aircraft Ltd,Phillips & Powis M.3 Falcon Major,FALM
_FH11_1,Fairchild Aircraft,Fairchild FH-1100,FH11
_FH11_2,Hiller Aircraft,Hiller FH-1100,FH11
_FH11_3,Rogerson Hiller Corporation,Rogerson Hiller RH-1100 Hornet,FH11
_FN33_1,SIAI-Marchetti,SIAI-Marchetti FN-333 Riviera,FN33
_G222_1,Alenia Aeronautica,Alenia G-222,G222
_GA7_1,Gulfstream American Corporation,Gulfstream American GA-7 Cougar,GA7
_GA7_2,SOCATA (Société de Construction d'Avions de Tourisme et d'Af.),Socata TB-360 Tangara,GA7
_GY80_1,Avions Yves Gardan,Gardan GY-80 Horizon,GY80
_GY80_2,Sud Aviation,Sud GY-80 Horizon,GY80
_H60_1,Aerospace Technologies of Australia Pty Ltd,Asta S-70 Seahawk,H60
_H60_2,Hawker De Havilland Australia Pty Ltd,Hawker de Havilland S-70 Black Hawk,H60
_H60_3,Korean Air Lines Company Ltd,Korean Air UH-60 Black Hawk,H60
_H60_4,Mitsubishi Heavy Industries,Mitsubishi SH-60 Seahawk,H60
_H60_5,Westland Aircraft,Westland WS-70,H60
_JUNR_1,Bölkow-Apparatebau GmbH,Bölkow BO-208 Junior,JUNR
_JUNR_2,Björn Andreasson,Andreasson BA-7,JUNR
_KIS4_1,Pulsar Aircraft Corporation,Pulsar Super Cruiser,KIS4
_L11_1,Temco Aircraft Corporation,Temco 11A Sedan,L11
_L11E_1,Quartz Mountain Aerospace,Quartz QMA 11E,L11E
_L60_1,Orlican Národní Podnik,Orlican L-60 Brigadyr,L60
_LAMA_1,Eurocopter Group ,Eurocopter SA-315 Lama,LAMA
_LAMA_2,Helicópteros do Brasil SA,Helibras HB-315 Gaviao,LAMA
_LAMA_3,Hindustan Aeronautics Limited (HAL),Hindustan SA-315 Cheetah,LAMA
_LAMA_4,Sud Aviation,Sud SA-315 Lama,LAMA
_LNC4_1,Neico Aviation Inc,Lancair 4,LNC4
_LNC4_2,Pacific Aeronautical Inc,Lancair 4,LNC4
_LNC4_3,Philippine Aerospace Development Corporation,Lancair 4,LNC4
_LNCE_1,Pacific Aeronautical Inc,Lancair ES,LNCE
_LNCE_2,Philippine Aerospace Development Corporation,Lancair ES,LNCE
_M200_1,Meyers Aircraft Company,Meyers 200,M200
_M200_2,North American Rockwell Corporation,North American Rockwell Commander 200,M200
_M20P_1,Aerostar Aircraft Corporation,Aerostar 200,M20P
_M4_1,Servicios Aéreas de America SA,Saasa M-1 Cuauhtemoc,M4
_MS76_1,Dirección Nacional de Investigaciones y Fabricaciones Aer.,Dinfia MS-760 Paris,MS76
_NAVI_1,North American Aviation,North American U-18 Navion,NAVI
_NAVI_2,Tulsa Manufacturing Corporation,Tusco Navion,NAVI
_OSCR_1,AFIC Pty Ltd,Afic RSA-200 Falcon,OSCR
_P149_1,Focke-Wulf Flugzeugbau AG,Focke-Wulf FWP-149,P149
_P28A_1,Aero Industrial Colombiana SA,Aicsa PA-28-140 Cherokee,P28A
_P28A_2,Chincul SACAIFI,Chincul PA-A-28-180 Cherokee Archer,P28A
_P28A_3,Embraer (Empresa Brasileira de Aeronáutica SA),Embraer EMB-712 Tupi,P28A
_P28A_4,Industria Aeronáutica Neiva SA,Neiva EMB-712 Tupi,P28A
_P28B_1,Aero Industrial Colombiana SA,Aicsa PA-28-236 Dakota,P28B
_P28B_2,Chincul SACAIFI,Chincul PA-A-28-235 Cherokee Pathfinder,P28B
_P28B_3,Embraer (Empresa Brasileira de Aeronáutica SA),Embraer Carioca,P28B
_P28B_4,Industria Aeronáutica de Chile,Indaer Chile PA-28-236 Dakota,P28B
_P28B_5,Industria Aeronáutica Neiva SA,Neiva EMB-710 Carioca,P28B
_P28R_1,Aero Industrial Colombiana SA,Aicsa PA-28R-180 Cherokee Arrow,P28R
_P28R_2,Chincul SACAIFI,Chincul PA-A-28R-200 Cherokee Arrow 2,P28R
_P28R_3,Embraer (Empresa Brasileira de Aeronáutica SA),Embraer Corisco,P28R
_P28R_4,Industria Aeronáutica Neiva SA,Neiva EMB-711B Corisco,P28R
_P28T_1,Aero Industrial Colombiana SA,Aicsa PA-28RT-201T Turbo Arrow 4,P28T
_P28T_2,Chincul SACAIFI,Chincul PA-A-28RT-201T Turbo Arrow 4,P28T
_P28T_3,Embraer (Empresa Brasileira de Aeronáutica SA),Embraer EMB-711T Corisco 2,P28T
_P28T_4,Industria Aeronáutica Neiva SA,Neiva EMB-711ST Corisco 2 Turbo,P28T
_PA30_1,Aero Industrial Colombiana SA,Aicsa PA-30 Twin Comanche,PA30
_PA30_2,Miller,Miller Twin Comanche 200,PA30
_PA44_1,Aero Industrial Colombiana SA,Aicsa PA-44 Seminole,PA44
_PICO_1,Eurospace Costruzioni Srl,Eurospace F-15 Excalibur,PICO
_PICO_2,General Avia Costruzioni Aeronautiche SRL,General Avia F-15 Picchio,PICO
_PZ01_1,Lembaga Industri Penerbangan Nurtanio,Lipnur PZL-101 Gawron,PZ01
_PZ04_1,Lembaga Industri Penerbangan Nurtanio,Lipnur Gelatik,PZ04
_RALL_1,PZL (Panstwowe Zaklady Lotnicze Warszawa-Okecie),PZL-110 Koliber,RALL
_RALL_2,SOCATA (Société de Construction d'Avions de Tourisme et d'Af.),Socata MS-880 Rallye 100,RALL
_S108_1,"Piper Aircraft, Inc",Piper 108 Station Wagon,S108
_S2P_1,Conair Aviation Ltd,Conair Firecat,S2P
